,0
6514,"Having booked a lunch at the aqua shard prior to a show in the evening we were disappointed with the poor standard of food provided e.g. Cold and shrivelled potatos ( even the butter would not melt ) and Luke warm vegetables.
The crispy duck...More"
6515,"Had breakfast here. We were lucky enough on arrival to be told we'd only have to wait 10 minutes for a window seat to become available. The view is very nice, but it doesn't have the wow factor that you get from top of the...More"
6516,As part of my wife's surprise birthday treat I booked a table for two at Aqua Shard. We were not disappointed. We had a table for two near a window and the views from the 31st floor were stunning. The staff were very attentive and...More
6517,"Front of house staff seemed overwhelmed by  the number of customers and the whole check in was chaotic and disappointing.  As  everyone had pre-booked they should have been better prepared. Trying to retrieve my coat at the end of the meal was equally poor.
Lunch...More"
6518,"The place was amazing. We enjoy the staff who was responsive and attentive. Meals were very well presented but the flavours of the dishes were just OK. I could do it myself except for the decoration.
Courses are very expansive and the portions are very...More"
6519,"Lunch at the Aqua Shard on Saturday 28th October. The view from the restaurant is spectacular! However the food was very amateurish and poor. My pork belly (my favourite dish!) was wobbly and the pak choi bitter and undercooked. no potatoes, so ordered some mash,...More"
6520,"Nipped up the shard for a quick drink whilst in London for a few days. Brilliant views, excellent drinks menu, helpful staff."
6521,"I went here with some friends. Enjoyed the view and cocktails. Food was good too.  My friends enjoyed the lunch and complimentary cake. 

Thank you Aqua Shad staff."
6522,"I went to Aqua Shard with my family on a Saturday evening to have a few drinks. We didn't book a table in advance but was lucky enough to get a table by the window. Alex, the guy who served us was very friendly and...More"
6523,"I took my daughter for a breakfast at the Aqua Shard. 
I had booked a slot as per their website. The staff is really attentive and pleasant. 
We didn't like the chocolate muffins not our taste anyway 
We liked the experience and we would come...More"
6524,"Had some lovely cocktails, after food in Oblix. The atmosphere was great, people were enjoying themselves, and there was a live performance from an acoustic artist which was a great addition."
6525,"The views are unbeatable, especially at sunset. Crowd is mixed, but pretty informal, but seriously- given the prices, they really need to learn how to make proper cocktails. There's all swirl and pizzaz in the preparation, but the actual execution and mix have a lot...More"
6526,"Great view,  can't be knocked.  The bar staff are not that attentive or friendly and even forgot about us so we waited 25 minutes for drinks to be delivered. Not what I expect if ordering champagne. Will return with friends, not kids, for a night...More"
6527,"Great place, unbelievable views!
Be prepared to pay the high bar bill but so worth it 😊
Called in for my daughters 21st, definitely made it memorable"
